Statistical profiling result from isolate-0x292e220-v8.log, (177218 ticks, 20473 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    100    0.1%    0.1%  LazyCompile: *<anonymous> /home/substack/projects/osm-p2p/node_modules/hyperlog/index.js:336:25
     99    0.1%    0.1%  LazyCompile: *pack /home/substack/projects/osm-p2p/node_modules/lexicographic-integer/index.js:4:15
     98    0.1%    0.1%  Stub: FastNewObjectStub
     98    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNullOrUndefined
     97    0.1%    0.1%  LazyCompile: ~floor native math.js:37:21
     96    0.1%    0.1%  LazyCompile: Join native array.js:131:14
     95    0.1%    0.1%  Stub: SubStringStub
     95    0.1%    0.1%  Stub: FastCloneRegExpStub
     92    0.1%    0.1%  Builtin: Call_ReceiverIsNotNullOrUndefined
     91    0.1%    0.1%  Stub: FastNewContextStub
     89    0.1%    0.1%  LazyCompile: *emitNode /home/substack/projects/osm-p2p-server/node_modules/sax/lib/sax.js:643:21
     88    0.0%    0.1%  Stub: ToLengthStub
     88    0.0%    0.1%  LazyCompile: ~AbstractLevelDOWN.batch /home/substack/projects/osm-p2p/node_modules/abstract-leveldown/abstract-leveldown.js:152:46
     87    0.0%    0.1%  Stub: CompareICStub {8}
     87    0.0%    0.1%  LazyCompile: *hasOwnProperty native v8natives.js:83:30
     81    0.0%    0.0%  RegExp: ^(?:true|false)$
     81    0.0%    0.0%  LazyCompile: *Readable.read /home/substack/projects/osm-p2p-server/node_modules/through2/node_modules/readable-stream/lib/_stream_readable.js:287:36
     80    0.0%    0.0%  LazyCompile: *openTag /home/substack/projects/osm-p2p-server/node_modules/sax/lib/sax.js:777:20
     80    0.0%    0.0%  Handler: v {16}
     79    0.0%    0.0%  LazyCompile: *write /home/substack/projects/osm-p2p-server/node_modules/obj2osm/index.js:66:18
     78    0.0%    0.0%  Stub: VectorStoreICStub
     78    0.0%    0.0%  LazyCompile: *encode /home/substack/projects/osm-p2p/node_modules/varint/encode.js:8:16
     78    0.0%    0.0%  LazyCompile: *Osm2Json.processChild /home/substack/projects/osm-p2p-server/node_modules/osm2json/lib/osm2json.js:168:44
     77    0.0%    0.0%  LazyCompile: ~<anonymous> /home/substack/projects/osm-p2p/node_modules/hyperlog/index.js:310:43
     76    0.0%    0.0%  LazyCompile: *Readable.read /home/substack/projects/osm-p2p-server/node_modules/readable-stream/lib/_stream_readable.js:292:36
     75    0.0%    0.0%  Stub: GrowArrayElementsStub
     75    0.0%    0.0%  LazyCompile: *addBatch /home/substack/projects/osm-p2p/node_modules/hyperlog/index.js:123:25
     75    0.0%    0.0%  LazyCompile: *BigInteger.valueOf /home/substack/projects/osm-p2p-server/node_modules/big-integer/BigInteger.js:1108:45
     74    0.0%    0.0%  Stub: FastNewSloppyArgumentsStub
     74    0.0%    0.0%  LazyCompile: *insert timers.js:119:16
     74    0.0%    0.0%  Handler: An IC handler from the snapshot {4}
     73    0.0%    0.0%  Stub: ArraySingleArgumentConstructorStub
     73    0.0%    0.0%  LazyCompile: *<anonymous> /home/substack/projects/osm-p2p-server/node_modules/obj2osm/index.js:108:37
     72    0.0%    0.0%  Builtin: Apply
     70    0.0%    0.0%  Stub: VectorKeyedStoreICStub
     70    0.0%    0.0%  LazyCompile: *indexOf native array.js:1056:22
     69    0.0%    0.0%  LazyCompile: *nextTick internal/process/next_tick.js:140:20
     68    0.0%    0.0%  LazyCompile: *readableAddChunk /home/substack/projects/osm-p2p-server/node_modules/through2/node_modules/readable-stream/lib/_stream_readable.js:170:26
     68    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot {1}
     67    0.0%    0.0%  Builtin: StringConstructor
     65    0.0%    0.0%  LazyCompile: *DefineIndexedProperty native array.js:48:31
     64    0.0%    0.0%  Stub: KeyedLoadICStub
     63    0.0%    0.0%  LazyCompile: *makeOptions /home/substack/projects/osm-p2p/node_modules/errno/node_modules/prr/prr.js:25:30
     63    0.0%    0.0%  Handler: An IC handler from the snapshot {7}
     61    0.0%    0.0%  LazyCompile: *BigInteger.multiply /home/substack/projects/osm-p2p-server/node_modules/big-integer/BigInteger.js:328:46
     61    0.0%    0.0%  Builtin: JSEntryTrampoline
     60    0.0%    0.0%  LazyCompile: *OutgoingMessage._writeRaw _http_outgoing.js:145:47
     60    0.0%    0.0%  Handler: v {25}
     59    0.0%    0.0%  LazyCompile: *[Symbol.replace] native regexp.js:377:23
     57    0.0%    0.0%  RegExp: notfound
     57    0.0%    0.0%  LazyCompile: *<anonymous> /home/substack/projects/osm-p2p-server/lib/replace_ids.js:22:45
     57    0.0%    0.0%  Handler: undefined
     55    0.0%    0.0%  Handler: Math
     53    0.0%    0.0%  LazyCompile: *<anonymous> /home/substack/projects/osm-p2p-server/node_modules/obj2osm/lib/h.js:13:38
     52    0.0%    0.0%  Stub: ToNumberStub
     51    0.0%    0.0%  LazyCompile: *OutgoingMessage.write _http_outgoing.js:424:43
     50    0.0%    0.0%  Stub: ToBooleanStub(Undefined)
     50    0.0%    0.0%  LazyCompile: *Socket._writeGeneric net.js:654:42
     50    0.0%    0.0%  Handler: An IC handler from the snapshot {3}
     49    0.0%    0.0%  LazyCompile: *onwrite /home/substack/projects/osm-p2p-server/node_modules/through2/node_modules/readable-stream/lib/_stream_writable.js:332:17
     48    0.0%    0.0%  Stub: FastNewStrictArgumentsStub
     48    0.0%    0.0%  Stub: CallApiAccessorStub
     48    0.0%    0.0%  LazyCompile: *onwrite /home/substack/projects/osm-p2p-server/node_modules/concat-stream/node_modules/readable-stream/lib/_stream_writable.js:357:17
     47    0.0%    0.0%  Stub: ToNameStub
     46    0.0%    0.0%  Stub: VectorStoreICStub {1}
     46    0.0%    0.0%  Handler: indexOf
     45    0.0%    0.0%  LazyCompile: *Hyperlog.get /home/substack/projects/osm-p2p/node_modules/hyperlog/index.js:108:35
     45    0.0%    0.0%  Handler: charAt
     44    0.0%    0.0%  Stub: LoadConstantStub {4}
     44    0.0%    0.0%  Stub: FastNewContextStub {1}
     44    0.0%    0.0%  Stub: CallApiAccessorStub {1}
     44    0.0%    0.0%  LazyCompile: *<anonymous> /home/substack/projects/osm-p2p-server/api/put_changes.js:37:45
     43    0.0%    0.0%  Stub: FastCloneShallowArrayStub
     43    0.0%    0.0%  Handler: v {14}
     43    0.0%    0.0%  Handler: An IC handler from the snapshot {17}
     42    0.0%    0.0%  LazyCompile: ~hex2dec /home/substack/projects/osm-p2p-server/lib/util.js:83:18
     42    0.0%    0.0%  Builtin: Call_ReceiverIsNullOrUndefined
     41    0.0%    0.0%  Stub: ToBooleanStub {1}
     41    0.0%    0.0%  LazyCompile: ~<anonymous> /home/substack/projects/osm-p2p/node_modules/hyperkv/index.js:254:34
     41    0.0%    0.0%  LazyCompile: *fromString buffer.js:181:20
     41    0.0%    0.0%  LazyCompile: *Uint8Array native typedarray.js:226:31
     40    0.0%    0.0%  Stub: ToBooleanStub
     40    0.0%    0.0%  Stub: ArraySingleArgumentConstructorStub {1}
     40    0.0%    0.0%  LazyCompile: *toString native v8natives.js:650:26
     40    0.0%    0.0%  LazyCompile: *module.exports /home/substack/projects/osm-p2p/node_modules/varint/length.js:12:27
     40    0.0%    0.0%  LazyCompile: *<anonymous> /home/substack/projects/osm-p2p/node_modules/hyperlog/index.js:305:28
     40    0.0%    0.0%  Builtin: Construct
     39    0.0%    0.0%  LazyCompile: ~generateId /home/substack/projects/osm-p2p-server/lib/util.js:79:21
     39    0.0%    0.0%  LazyCompile: ~fromList /home/substack/projects/osm-p2p-server/node_modules/through2/node_modules/readable-stream/lib/_stream_readable.js:800:18
     39    0.0%    0.0%  LazyCompile: *<anonymous> /home/substack/projects/osm-p2p/node_modules/hyperkv/index.js:252:28
     39    0.0%    0.0%  Builtin: ReflectConstruct
     38    0.0%    0.0%  Stub: StoreFieldStub
     38    0.0%    0.0%  Stub: LoadConstantStub {2}
     38    0.0%    0.0%  LazyCompile: *exports.utf8.exports.utf-8.encode /home/substack/projects/osm-p2p/node_modules/level-codec/lib/encodings.js:3:19
     38    0.0%    0.0%  LazyCompile: *clearBuffer /home/substack/projects/osm-p2p-server/node_modules/through2/node_modules/readable-stream/lib/_stream_writable.js:375:21
     37    0.0%    0.0%  Stub: StoreFieldStub {3}
     37    0.0%    0.0%  Stub: RecordWriteStub {4}
     37    0.0%    0.0%  Stub: FastNewContextStub {3}
     37    0.0%    0.0%  LazyCompile: ~endReadableNT _stream_readable.js:970:23
     37    0.0%    0.0%  LazyCompile: ~done /home/substack/projects/osm-p2p/node_modules/hyperlog/index.js:141:17
     37    0.0%    0.0%  LazyCompile: *indexOf native string.js:66:23
     37    0.0%    0.0%  LazyCompile: *InnerArrayIndexOf native array.js:1011:27
     37    0.0%    0.0%  Handler: v {23}
     37    0.0%    0.0%  Handler: hasOwnProperty {NaN}
     37    0.0%    0.0%  Builtin: CallBoundFunction
     36    0.0%    0.0%  Stub: StoreFieldStub {2}
     36    0.0%    0.0%  Stub: LoadConstantStub {6}
     36    0.0%    0.0%  Stub: FastNewContextStub {2}
     36    0.0%    0.0%  Stub: CompareICStub {3}
     36    0.0%    0.0%  Handler: An IC handler from the snapshot {6}
     36    0.0%    0.0%  Handler: An IC handler from the snapshot {15}
     35    0.0%    0.0%  Stub: CEntryStub {1}
     35    0.0%    0.0%  LazyCompile: ~<anonymous> /home/substack/projects/osm-p2p/node_modules/kdb-tree-store/index.js:99:30
     35    0.0%    0.0%  LazyCompile: *writeOrBuffer _stream_writable.js:269:23
     35    0.0%    0.0%  LazyCompile: *getOptions /home/substack/projects/osm-p2p/node_modules/levelup/lib/util.js:20:21
     35    0.0%    0.0%  LazyCompile: *exports.string.encode /home/substack/projects/osm-p2p/node_modules/protocol-buffers/encodings.js:64:25
     35    0.0%    0.0%  Handler: v {41}
     35    0.0%    0.0%  Handler: v {32}
     34    0.0%    0.0%  Stub: StoreTransitionStub {5}
     34    0.0%    0.0%  Stub: LoadFieldStub
     34    0.0%    0.0%  LazyCompile: *BigInteger.divide /home/substack/projects/osm-p2p-server/node_modules/big-integer/BigInteger.js:569:44
     34    0.0%    0.0%  Builtin: JSBuiltinsConstructStubForDerived
     33    0.0%    0.0%  Stub: StoreTransitionStub {12}
     33    0.0%    0.0%  LazyCompile: *h /home/substack/projects/osm-p2p-server/node_modules/obj2osm/lib/h.js:1:91
     33    0.0%    0.0%  Handler: v {29}
     32    0.0%    0.0%  Stub: StoreFieldStub {10}
     32    0.0%    0.0%  LazyCompile: ~map native array.js:996:18
     32    0.0%    0.0%  LazyCompile: FastBuffer buffer.js:8:1
     32    0.0%    0.0%  LazyCompile: *replace native string.js:129:23
     32    0.0%    0.0%  LazyCompile: *exports.string.encodingLength /home/substack/projects/osm-p2p/node_modules/protocol-buffers/encodings.js:59:33
     32    0.0%    0.0%  LazyCompile: *DeferredLevelDOWN._operation /home/substack/projects/osm-p2p/node_modules/deferred-leveldown/deferred-leveldown.js:30:51
     32    0.0%    0.0%  LazyCompile: *AbstractLevelDOWN._checkKey /home/substack/projects/osm-p2p/node_modules/abstract-leveldown/abstract-leveldown.js:260:50
     32    0.0%    0.0%  Handler: v {33}
     32    0.0%    0.0%  Handler: push {1}
     32    0.0%    0.0%  Handler: An IC handler from the snapshot {12}
     30    0.0%    0.0%  LazyCompile: *KV.batch /home/substack/projects/osm-p2p/node_modules/hyperkv/index.js:217:31
     29    0.0%    0.0%  LazyCompile: ~<anonymous> /home/substack/projects/osm-p2p/node_modules/hyperlog/index.js:115:64
     29    0.0%    0.0%  LazyCompile: *defined /home/substack/projects/osm-p2p/node_modules/protocol-buffers/compile.js:32:24
     29    0.0%    0.0%  Builtin: FunctionPrototypeCall
     28    0.0%    0.0%  Stub: LoadFieldStub {2}
     28    0.0%    0.0%  LazyCompile: *slice native string.js:242:21
