Statistical profiling result from isolate-0x292e220-v8.log, (177218 ticks, 20473 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *BigInteger /home/substack/projects/osm-p2p-server/node_modules/big-integer/BigInteger.js:16:24
      1    0.0%    0.0%  LazyCompile: *<anonymous> /home/substack/projects/osm-p2p/node_modules/hyperlog/index.js:326:32
      1    0.0%    0.0%  LazyCompile: *<anonymous> /home/substack/projects/osm-p2p/node_modules/fd-chunk-store/index.js:35:35
      1    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot
      1    0.0%    0.0%  Handler: write
      1    0.0%    0.0%  Handler: version {1}
      1    0.0%    0.0%  Handler: valueAsBuffer
      1    0.0%    0.0%  Handler: value
      1    0.0%    0.0%  Handler: v {1}
      1    0.0%    0.0%  Handler: v
      1    0.0%    0.0%  Handler: utf8Write
      1    0.0%    0.0%  Handler: utf8Slice
      1    0.0%    0.0%  Handler: user {2}
      1    0.0%    0.0%  Handler: user {1}
      1    0.0%    0.0%  Handler: user
      1    0.0%    0.0%  Handler: uid {3}
      1    0.0%    0.0%  Handler: uid {2}
      1    0.0%    0.0%  Handler: uid
      1    0.0%    0.0%  Handler: timestamp {2}
      1    0.0%    0.0%  Handler: timestamp {1}
      1    0.0%    0.0%  Handler: timestamp
      1    0.0%    0.0%  Handler: readUInt32BE
      1    0.0%    0.0%  Handler: readUInt16BE
      1    0.0%    0.0%  Handler: put
      1    0.0%    0.0%  Handler: push
      1    0.0%    0.0%  Handler: process
      1    0.0%    0.0%  Handler: parseInt
      1    0.0%    0.0%  Handler: lon {5}
      1    0.0%    0.0%  Handler: lon {4}
      1    0.0%    0.0%  Handler: lon {3}
      1    0.0%    0.0%  Handler: lon {1}
      1    0.0%    0.0%  Handler: lon
      1    0.0%    0.0%  Handler: load
      1    0.0%    0.0%  Handler: lat
      1    0.0%    0.0%  Handler: k
      1    0.0%    0.0%  Handler: insert
      1    0.0%    0.0%  Handler: id {3}
      1    0.0%    0.0%  Handler: id {2}
      1    0.0%    0.0%  Handler: id {1}
      1    0.0%    0.0%  Handler: id
      1    0.0%    0.0%  Handler: get {1}
      1    0.0%    0.0%  Handler: encodeValue
      1    0.0%    0.0%  Handler: emit
      1    0.0%    0.0%  Handler: children
      1    0.0%    0.0%  Handler: charCodeAt
      1    0.0%    0.0%  Handler: changeset {3}
      1    0.0%    0.0%  Handler: changeset {2}
      1    0.0%    0.0%  Handler: changeset {1}
      1    0.0%    0.0%  Handler: changeset
      1    0.0%    0.0%  Handler: batch
      1    0.0%    0.0%  Handler: async
      1    0.0%    0.0%  Handler: apply
      1    0.0%    0.0%  Handler: action
      1    0.0%    0.0%  Handler: _read
      1    0.0%    0.0%  Handler: String {1}
      1    0.0%    0.0%  Handler: String
      1    0.0%    0.0%  Handler: Math {1}
      1    0.0%    0.0%  Handler: Date
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {18}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {14}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {13}
      1    0.0%    0.0%  Function: ~<anonymous> /home/substack/projects/osm-p2p-server/node_modules/through2/node_modules/readable-stream/lib/_stream_transform.js:1:11
      1    0.0%    0.0%  Builtin: ObjectAssign

 [C++]:
   ticks  total  nonlib   name
  19818   11.2%   11.8%  v8::internal::Heap::MoveElements(v8::internal::FixedArray*, int, int, int)
   7464    4.2%    4.4%  v8::internal::LookupIterator::Next()
   2121    1.2%    1.3%  int v8::internal::BinarySearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int*)
   1782    1.0%    1.1%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
   1529    0.9%    0.9%  __pthread_cond_signal
   1487    0.8%    0.9%  void v8::internal::String::WriteToFlat<unsigned char>(v8::internal::String*, unsigned char*, int, int)
   1476    0.8%    0.9%  v8::internal::Object::ObjectProtoToString(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>)
   1388    0.8%    0.8%  node::crypto::RandomBytes(v8::FunctionCallbackInfo<v8::Value> const&)
   1353    0.8%    0.8%  v8::internal::LoadIC::Load(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>)
   1277    0.7%    0.8%  v8::internal::JSObject::MigrateToMap(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>, int)
   1059    0.6%    0.6%  void v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::EvacuateObject<(v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::ObjectContents)1, (v8::internal::AllocationAlignment)0>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
    992    0.6%    0.6%  v8::internal::JSReceiver::BuiltinStringTag(v8::internal::Handle<v8::internal::JSReceiver>)
    979    0.6%    0.6%  v8::internal::Factory::NewConsString(v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::String>)
    957    0.5%    0.6%  v8::internal::SeqString::Truncate(v8::internal::Handle<v8::internal::SeqString>, int)
    956    0.5%    0.6%  v8::internal::LookupIterator::PropertyOrElement(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, bool*, v8::internal::LookupIterator::Configuration)
    864    0.5%    0.5%  v8::internal::Factory::NewRawOneByteString(int, v8::internal::PretenureFlag)
    813    0.5%    0.5%  v8::internal::JSObjectWalkVisitor<v8::internal::AllocationSiteUsageContext, (v8::internal::BoilerplateKind)0>::StructureWalk(v8::internal::Handle<v8::internal::JSObject>)
    782    0.4%    0.5%  v8::internal::RuntimeCallTimerScope::RuntimeCallTimerScope(v8::internal::Isolate*, v8::internal::RuntimeCallCounter*)
    778    0.4%    0.5%  v8::internal::Heap::RecordWrite(v8::internal::Object*, int, v8::internal::Object*)
    768    0.4%    0.5%  void v8::internal::BodyDescriptorBase::IterateBodyImpl<v8::internal::StaticScavengeVisitor>(v8::internal::Heap*, v8::internal::HeapObject*, int, int)
    751    0.4%    0.4%  write
    648    0.4%    0.4%  v8::internal::String::Compare(v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::String>)
    637    0.4%    0.4%  v8::internal::LookupIterator::WriteDataValue(v8::internal::Handle<v8::internal::Object>)
    624    0.4%    0.4%  v8::internal::KeyedLoadIC::Load(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>) [clone .constprop.229]
    608    0.3%    0.4%  v8::internal::IncrementalStringBuilder::AppendString(v8::internal::Handle<v8::internal::String>)
    589    0.3%    0.4%  v8::internal::Runtime_KeyedLoadIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
    588    0.3%    0.4%  v8::internal::PropertyDescriptor::ToPropertyDescriptor(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyDescriptor*)
    584    0.3%    0.3%  v8::internal::Object::AddDataProperty(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::ShouldThrow, v8::internal::Object::StoreFromKeyed)
    584    0.3%    0.3%  v8::internal::Heap::AllocateRawOneByteString(int, v8::internal::PretenureFlag)
    582    0.3%    0.3%  v8::internal::String::ComputeAndSetHash()
    574    0.3%    0.3%  v8::internal::IC::IC(v8::internal::IC::FrameDepth, v8::internal::Isolate*, v8::internal::FeedbackNexus*)
    550    0.3%    0.3%  v8::internal::Heap::IterateAndMarkPointersToFromSpace(v8::internal::HeapObject*, unsigned char*, unsigned char*, bool, void (*)(v8::internal::HeapObject**, v8::internal::HeapObject*))
    544    0.3%    0.3%  v8::internal::Scavenger::ScavengeObject(v8::internal::HeapObject**, v8::internal::HeapObject*)
    531    0.3%    0.3%  cfree
    530    0.3%    0.3%  v8::internal::TransitionArray::SearchTransition(v8::internal::Map*, v8::internal::PropertyKind, v8::internal::Name*, v8::internal::PropertyAttributes)
    528    0.3%    0.3%  v8::internal::RuntimeCallTimerScope::~RuntimeCallTimerScope()
    522    0.3%    0.3%  v8::internal::Handle<v8::internal::ConsString> v8::internal::Factory::New<v8::internal::ConsString>(v8::internal::Handle<v8::internal::Map>, v8::internal::AllocationSpace)
    512    0.3%    0.3%  v8::internal::Accessors::ArrayLengthSetter(v8::Local<v8::Name>, v8::Local<v8::Value>, v8::PropertyCallbackInfo<void> const&)
    509    0.3%    0.3%  v8::internal::String::SlowFlatten(v8::internal::Handle<v8::internal::ConsString>, v8::internal::PretenureFlag)
    478    0.3%    0.3%  v8::internal::(anonymous namespace)::UpdateDescriptorForValue(v8::internal::Handle<v8::internal::Map>, int, v8::internal::Handle<v8::internal::Object>)
    472    0.3%    0.3%  v8::internal::IncrementalMarking::Step(long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::IncrementalMarking::ForceMarkingAction, v8::internal::IncrementalMarking::ForceCompletionAction)
    470    0.3%    0.3%  int v8::internal::Search<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int*)
    463    0.3%    0.3%  v8::internal::StubCache::Set(v8::internal::Name*, v8::internal::Map*, v8::internal::Code*)
    462    0.3%    0.3%  v8::internal::ScavengeVisitor::VisitPointers(v8::internal::Object**, v8::internal::Object**)
    455    0.3%    0.3%  v8::internal::IC::UpdateState(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>)
    452    0.3%    0.3%  v8::internal::LookupIterator::GetDataValue() const
    449    0.3%    0.3%  v8::internal::Runtime_StringCompare(int, v8::internal::Object**, v8::internal::Isolate*)
    447    0.3%    0.3%  v8::internal::Heap::Allocate(v8::internal::Map*, v8::internal::AllocationSpace, v8::internal::AllocationSite*)
    442    0.2%    0.3%  __libc_malloc
    441    0.2%    0.3%  v8::internal::Factory::NewStringFromOneByte(v8::internal::Vector<unsigned char const>, v8::internal::PretenureFlag)
    421    0.2%    0.3%  v8::internal::IC::PatchCache(v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::Code>)
    419    0.2%    0.2%  v8::internal::String::GetFlatContent()
    415    0.2%    0.2%  v8::internal::Isolate::CaptureSimpleStackTrace(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Object>)
    399    0.2%    0.2%  v8::internal::Object::GetProperty(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>)
    374    0.2%    0.2%  v8::internal::LoadIC::UpdateCaches(v8::internal::LookupIterator*)
    371    0.2%    0.2%  void node::StreamBase::JSMethod<node::StreamWrap, &(int node::StreamBase::WriteString<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
    369    0.2%    0.2%  __GI___pthread_getspecific
    366    0.2%    0.2%  v8::internal::Object::ToUint32(unsigned int*)
    362    0.2%    0.2%  v8::internal::Runtime_HasOwnProperty(int, v8::internal::Object**, v8::internal::Isolate*)
    353    0.2%    0.2%  void v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::EvacuateObject<(v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::ObjectContents)0, (v8::internal::AllocationAlignment)0>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
    352    0.2%    0.2%  sha256_block_data_order_ssse3
    350    0.2%    0.2%  v8::internal::String::SlowEquals(v8::internal::String*)
    343    0.2%    0.2%  v8::internal::InnerPointerToCodeCache::GetCacheEntry(unsigned char*)
    336    0.2%    0.2%  v8::internal::Factory::NewNumber(double, v8::internal::PretenureFlag)
    335    0.2%    0.2%  void v8::internal::BodyDescriptorBase::IteratePointers<v8::internal::IncrementalMarkingMarkingVisitor>(v8::internal::Heap*, v8::internal::HeapObject*, int, int)
    334    0.2%    0.2%  v8::internal::Heap::Scavenge()
    333    0.2%    0.2%  v8::String::WriteUtf8(char*, int, int*, int) const
    316    0.2%    0.2%  v8::internal::HashTable<v8::internal::StringTable, v8::internal::StringTableShape, v8::internal::HashTableKey*>::FindEntry(v8::internal::Isolate*, v8::internal::HashTableKey*)
    315    0.2%    0.2%  node::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
    314    0.2%    0.2%  v8::internal::Object::GetProperty(v8::internal::LookupIterator*)
    312    0.2%    0.2%  v8::internal::JSReceiver::OrdinaryToPrimitive(v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::OrdinaryToPrimitiveHint)
    308    0.2%    0.2%  v8::internal::JSObject::AddDataElement(v8::internal::Handle<v8::internal::JSObject>, unsigned int, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::ShouldThrow)
    307    0.2%    0.2%  v8::internal::StringTable::LookupString(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>)
    306    0.2%    0.2%  v8::internal::JSObject::HasRealNamedProperty(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Name>)
    305    0.2%    0.2%  v8::internal::Object::ToName(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>)
    299    0.2%    0.2%  node::crypto::Hash::New(v8::FunctionCallbackInfo<v8::Value> const&)
    297    0.2%    0.2%  v8::internal::Object::SetPropertyInternal(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>, v8::internal::LanguageMode, v8::internal::Object::StoreFromKeyed, bool*)
    295    0.2%    0.2%  v8::internal::FixedArray::set(int, v8::internal::Object*)
    290    0.2%    0.2%  strlen
    287    0.2%    0.2%  v8::internal::Object::GetMethod(v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::Handle<v8::internal::Name>)
    283    0.2%    0.2%  v8::internal::StackFrame::GetCallerState(v8::internal::StackFrame::State*) const
    281    0.2%    0.2%  v8::internal::JSObject::FastPropertyAt(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Representation, v8::internal::FieldIndex)
    266    0.2%    0.2%  v8::internal::FrameSummary::FrameSummary(v8::internal::Object*, v8::internal::JSFunction*, v8::internal::AbstractCode*, int, bool)
    265    0.1%    0.2%  v8::internal::Map::TransitionToDataProperty(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::StoreFromKeyed)
    260    0.1%    0.2%  v8::internal::Runtime_CreateObjectLiteral(int, v8::internal::Object**, v8::internal::Isolate*)
    260    0.1%    0.2%  v8::internal::LoadIC::ShouldThrowReferenceError(v8::internal::Handle<v8::internal::Object>)
    257    0.1%    0.2%  v8::internal::Heap::AdjustLiveBytes(v8::internal::HeapObject*, int, v8::internal::Heap::InvocationMode)
    255    0.1%    0.2%  v8::internal::Runtime_KeyedGetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
    253    0.1%    0.2%  v8::internal::Factory::NewStringFromUtf8(v8::internal::Vector<char const>, v8::internal::PretenureFlag)
    250    0.1%    0.1%  v8::internal::MaybeHandle<v8::internal::Object> v8::internal::(anonymous namespace)::HandleApiCallHelper<false>(v8::internal::Isolate*, v8::internal::(anonymous namespace)::BuiltinArguments<(v8::internal::BuiltinExtraArguments)1>)
    249    0.1%    0.1%  v8::internal::Strtod(v8::internal::Vector<char const>, int)
    249    0.1%    0.1%  v8::internal::LookupIterator::PrepareTransitionToDataProperty(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::StoreFromKeyed)
    245    0.1%    0.1%  v8::internal::String::Flatten(v8::internal::Handle<v8::internal::String>, v8::internal::PretenureFlag)
    245    0.1%    0.1%  v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastPackedObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)2> >::Push(v8::internal::Handle<v8::internal::JSArray>, v8::internal::Handle<v8::internal::FixedArrayBase>, v8::internal::Arguments*, unsigned int)
    244    0.1%    0.1%  v8::internal::Builtin_ObjectProtoToString(int, v8::internal::Object**, v8::internal::Isolate*)
    243    0.1%    0.1%  v8::Isolate::GetCurrentContext()
    237    0.1%    0.1%  node::Buffer::ByteLengthUtf8(v8::FunctionCallbackInfo<v8::Value> const&)
    236    0.1%    0.1%  _IO_vfprintf
    234    0.1%    0.1%  v8::internal::Heap::InitializeJSObjectBody(v8::internal::JSObject*, v8::internal::Map*, int)
    233    0.1%    0.1%  v8::internal::StackFrameIterator::Advance()
    229    0.1%    0.1%  v8::internal::HeapObject::SizeFromMap(v8::internal::Map*)
    227    0.1%    0.1%  v8::internal::(anonymous namespace)::Invoke(v8::internal::Isolate*, bool, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, int, v8::internal::Handle<v8::internal::Object>*, v8::internal::Handle<v8::internal::Object>)
    225    0.1%    0.1%  v8::internal::FlexibleBodyVisitor<v8::internal::StaticScavengeVisitor, v8::internal::JSFunction::BodyDescriptorImpl<(v8::internal::JSFunction::BodyVisitingPolicy)0>, int>::Visit(v8::internal::Map*, v8::internal::HeapObject*)
    218    0.1%    0.1%  v8::internal::LookupIterator::ApplyTransitionToDataProperty(v8::internal::Handle<v8::internal::JSObject>)
    217    0.1%    0.1%  v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastHoleyObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)3> >::GetEntryForIndex(v8::internal::JSObject*, v8::internal::FixedArrayBase*, unsigned int)
    211    0.1%    0.1%  v8::internal::Runtime_StringToLowerCase(int, v8::internal::Object**, v8::internal::Isolate*)
    208    0.1%    0.1%  v8::internal::Runtime_MathFloor(int, v8::internal::Object**, v8::internal::Isolate*)
    207    0.1%    0.1%  v8::internal::LookupIterator::TransitionToAccessorProperty(v8::internal::AccessorComponent, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes)
    205    0.1%    0.1%  v8::internal::Execution::Call(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, int, v8::internal::Handle<v8::internal::Object>*)
    203    0.1%    0.1%  double v8::internal::InternalStringToDouble<unsigned char const*, unsigned char const*>(v8::internal::UnicodeCache*, unsigned char const*, unsigned char const*, int, double)
    201    0.1%    0.1%  v8::internal::IncrementalStringBuilder::IncrementalStringBuilder(v8::internal::Isolate*)
    195    0.1%    0.1%  v8::internal::Logger::SuspectReadEvent(v8::internal::Name*, v8::internal::Object*)
    192    0.1%    0.1%  v8::internal::(anonymous namespace)::EnsureJSArrayWithWritableFastElements(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Arguments*, int)
    189    0.1%    0.1%  v8::internal::FastDtoa(double, v8::internal::FastDtoaMode, int, v8::internal::Vector<char>, int*, int*)
    187    0.1%    0.1%  void v8::Utf8WriterVisitor::Visit<unsigned char>(unsigned char const*, int)
    187    0.1%    0.1%  v8::internal::Runtime_HasProperty(int, v8::internal::Object**, v8::internal::Isolate*)
    187    0.1%    0.1%  v8::internal::Compiler::GetLazyCode(v8::internal::Handle<v8::internal::JSFunction>)
    187    0.1%    0.1%  v8::internal::Builtin_ObjectAssign(int, v8::internal::Object**, v8::internal::Isolate*)
    186    0.1%    0.1%  void v8::internal::Heap::RightTrimFixedArray<(v8::internal::Heap::InvocationMode)1>(v8::internal::FixedArrayBase*, int)
    185    0.1%    0.1%  v8::internal::OptimizedFrame::Summarize(v8::internal::List<v8::internal::FrameSummary, v8::internal::FreeStoreAllocationPolicy>*)
    185    0.1%    0.1%  v8::internal::Isolate::native_context()
    182    0.1%    0.1%  v8::internal::TryConvertKey(v8::internal::Handle<v8::internal::Object>, v8::internal::Isolate*)
    182    0.1%    0.1%  v8::internal::Heap::DoScavenge(v8::internal::ObjectVisitor*, unsigned char*)
    181    0.1%    0.1%  v8::internal::ConsString::ConsStringGet(int)
    180    0.1%    0.1%  v8::internal::StackFrameIterator::StackFrameIterator(v8::internal::Isolate*)
    180    0.1%    0.1%  v8::internal::IncrementalStringBuilder::Finish()
    179    0.1%    0.1%  v8::internal::Runtime_StringReplaceGlobalRegExpWithString(int, v8::internal::Object**, v8::internal::Isolate*)
    179    0.1%    0.1%  v8::internal::DescriptorArray::GetFieldType(int)
    178    0.1%    0.1%  v8::internal::InternalizedStringKey::IsMatch(v8::internal::Object*)
    176    0.1%    0.1%  v8::internal::Object* v8::internal::StringReplaceGlobalAtomRegExpWithString<v8::internal::SeqOneByteString>(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::JSRegExp>, v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::JSArray>)
    172    0.1%    0.1%  v8::internal::Runtime_StoreCallbackProperty(int, v8::internal::Object**, v8::internal::Isolate*)
    172    0.1%    0.1%  v8::internal::BasicJsonStringifier::SerializeString(v8::internal::Handle<v8::internal::String>)
    171    0.1%    0.1%  v8::internal::Runtime::GetObjectProperty(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>)
    168    0.1%    0.1%  v8::internal::Heap::CopyJSObject(v8::internal::JSObject*, v8::internal::AllocationSite*)
    168    0.1%    0.1%  v8::internal::Heap::AllocateJSObjectFromMap(v8::internal::Map*, v8::internal::PretenureFlag, v8::internal::AllocationSite*)
    166    0.1%    0.1%  v8::internal::StringTable::LookupKey(v8::internal::Isolate*, v8::internal::HashTableKey*)
    165    0.1%    0.1%  v8::internal::JSReceiver::ValidateAndApplyPropertyDescriptor(v8::internal::Isolate*, v8::internal::LookupIterator*, bool, v8::internal::PropertyDescriptor*, v8::internal::PropertyDescriptor*, v8::internal::Object::ShouldThrow, v8::internal::Handle<v8::internal::Name>)
    158    0.1%    0.1%  v8::internal::Object::IsArray(v8::internal::Handle<v8::internal::Object>)
    157    0.1%    0.1%  v8::internal::JsonParser<true>::ParseJsonObject()
    155    0.1%    0.1%  v8::internal::Runtime_AddElement(int, v8::internal::Object**, v8::internal::Isolate*)
    154    0.1%    0.1%  v8::internal::KeyedLoadICNexus::StateFromFeedback() const
    153    0.1%    0.1%  v8::String::NewFromUtf8(v8::Isolate*, char const*, v8::NewStringType, int)
    150    0.1%    0.1%  v8::internal::JSArray::HasReadOnlyLength(v8::internal::Handle<v8::internal::JSArray>)
    150    0.1%    0.1%  v8::internal::Factory::NewJSArrayWithElements(v8::internal::Handle<v8::internal::FixedArrayBase>, v8::internal::ElementsKind, int, v8::internal::Strength, v8::internal::PretenureFlag)
    150    0.1%    0.1%  v8::internal::BasicJsonStringifier::Result v8::internal::BasicJsonStringifier::Serialize_<true>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
    148    0.1%    0.1%  v8::internal::Heap::CreateFillerObjectAt(unsigned char*, int)
    148    0.1%    0.1%  v8::HandleScope::~HandleScope()
    146    0.1%    0.1%  v8::internal::SaveContext::SaveContext(v8::internal::Isolate*)
    145    0.1%    0.1%  v8::internal::String::IsUtf8EqualTo(v8::internal::Vector<char const>, bool)
    145    0.1%    0.1%  v8::internal::JSObject::FastPropertyAtPut(v8::internal::FieldIndex, v8::internal::Object*)
    141    0.1%    0.1%  v8::internal::JSObject::DefineOwnPropertyIgnoreAttributes(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::ShouldThrow, v8::internal::JSObject::AccessorInfoHandling)
    140    0.1%    0.1%  v8::internal::Zone::New(unsigned long)
    138    0.1%    0.1%  v8::internal::(anonymous namespace)::CopyObjectToObjectElements(v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, int)
    137    0.1%    0.1%  v8::internal::TransitionArray::FindTransitionToField(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::Name>)
    134    0.1%    0.1%  void v8::internal::String::WriteToFlat<unsigned short>(v8::internal::String*, unsigned short*, int, int)
    134    0.1%    0.1%  v8::internal::Heap::AllocateJSObject(v8::internal::JSFunction*, v8::internal::PretenureFlag, v8::internal::AllocationSite*)
    134    0.1%    0.1%  __GI___pthread_mutex_lock
    131    0.1%    0.1%  v8::internal::Runtime::SetObjectProperty(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, v8::internal::LanguageMode)
    130    0.1%    0.1%  v8::internal::Heap::CopyFixedArrayAndGrow(v8::internal::FixedArray*, int, v8::internal::PretenureFlag)
    130    0.1%    0.1%  v8::EscapableHandleScope::EscapableHandleScope(v8::Isolate*)
    129    0.1%    0.1%  v8::internal::JSReceiver::ToPrimitive(v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::ToPrimitiveHint)
    128    0.1%    0.1%  v8::internal::Factory::NewFunction(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::SharedFunctionInfo>, v8::internal::Handle<v8::internal::Context>, v8::internal::PretenureFlag)
    128    0.1%    0.1%  v8::HandleScope::HandleScope(v8::Isolate*)
    127    0.1%    0.1%  v8::internal::JSObject::SetOwnElementIgnoreAttributes(v8::internal::Handle<v8::internal::JSObject>, unsigned int, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes)
    126    0.1%    0.1%  v8::Isolate::GetCurrent()
    125    0.1%    0.1%  v8::internal::StoreBuffer::MoveEntriesToRememberedSet()
    125    0.1%    0.1%  v8::internal::Deoptimizer::GetOutputInfo(v8::internal::DeoptimizationOutputData*, v8::internal::BailoutId, v8::internal::SharedFunctionInfo*)
    125    0.1%    0.1%  v8::internal::ConsString* v8::internal::String::VisitFlat<v8::Utf8LengthHelper::Visitor>(v8::Utf8LengthHelper::Visitor*, v8::internal::String*, int) [clone .constprop.457]
    124    0.1%    0.1%  v8::internal::TimerEventScope<v8::internal::TimerEventIcMiss>::LogTimerEvent(v8::internal::Logger::StartEnd)
    124    0.1%    0.1%  v8::internal::Space::AllocationStep(unsigned char*, int)
    123    0.1%    0.1%  v8::Context::Exit()
    122    0.1%    0.1%  v8::internal::Map::TransitionToAccessorProperty(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::Name>, v8::internal::AccessorComponent, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes)
    122    0.1%    0.1%  v8::internal::Factory::NewFunctionFromSharedFunctionInfo(v8::internal::Handle<v8::internal::SharedFunctionInfo>, v8::internal::Handle<v8::internal::Context>, v8::internal::PretenureFlag)
    120    0.1%    0.1%  v8::internal::Object::SetProperty(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::Object>, v8::internal::LanguageMode, v8::internal::Object::StoreFromKeyed)
    120    0.1%    0.1%  v8::Utf8LengthHelper::Calculate(v8::internal::ConsString*, unsigned char*)
    119    0.1%    0.1%  v8::internal::JSObject::DefineAccessor(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes)
    118    0.1%    0.1%  v8::internal::HashTable<v8::internal::NameDictionary, v8::internal::NameDictionaryShape, v8::internal::Handle<v8::internal::Name> >::FindEntry(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Name>)
    115    0.1%    0.1%  v8::internal::Scavenger::ScavengeObjectSlow(v8::internal::HeapObject**, v8::internal::HeapObject*)
